Id,30,50,60,90,160,C (all),RL,RM,AlleyGrvl,Alleynan,IR1,IR2,Reg,Bnk,HLS,CulDSac,BrDale,BrkSide,Edwards,IDOTRR,MeadowV,NAmes,NoRidge,NridgHt,OldTown,Sawyer,Somerst,StoneBr,Timber,Condition1Artery,Condition1Feedr,Condition1Norm,1Fam,Duplex,Gable,Hip,CompShg,WdShngl,Exterior2ndCmentBd,Exterior2ndMetalSd,Exterior2ndVinylSd,Exterior2ndWd Sdng,BrkFace,None,Stone,FuseA,FuseF,SBrkr,Attchd,BuiltIn,Detchd,N,Y,WD,Abnorml,Normal,Partial,LotFrontage,LotArea,OverallQual,YearBuilt,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SalePrice,ExterQual,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,KitchenQual,GarageQual,PoolQC,BsmtFinType1,CentralAir,Functional,GarageFinish,Fence
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,65,8450,7,2003,706,150,856,854,1,3,1,8,0,2,0,61,0,0,208500,4,4,3,2,5,4,3,0,6,1,8,2,0
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,80,9600,6,1976,978,284,1262,0,0,3,1,6,1,2,298,0,0,0,181500,3,4,3,4,5,3,3,0,5,1,8,2,0
2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,68,11250,7,2001,486,434,920,866,1,3,1,6,1,2,0,42,0,0,223500,4,4,3,3,5,4,3,0,6,1,8,2,0
3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,60,9550,7,1915,216,540,756,756,1,3,1,7,1,3,0,35,272,0,140000,3,3,4,2,4,4,3,0,5,1,8,1,0
4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,84,14260,8,2000,655,490,1145,1053,1,4,1,9,1,3,192,84,0,0,250000,4,4,3,3,5,4,3,0,6,1,8,2,0
5,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,85,14115,5,1993,732,64,796,566,1,1,1,5,0,2,40,30,0,0,143000,3,4,3,2,5,3,3,0,6,1,8,1,3
6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,75,10084,8,2004,1369,317,1686,0,1,3,1,7,1,2,255,57,0,0,307000,4,5,3,3,5,4,3,0,6,1,8,2,0
7,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,10382,7,1973,859,216,1107,983,1,3,1,7,2,2,235,204,228,0,200000,3,4,3,3,5,3,3,0,5,1,8,2,0
8,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,51,6120,7,1931,0,952,952,752,0,2,2,8,2,2,90,0,205,0,129900,3,3,3,2,4,3,2,0,1,1,7,1,0
9,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,50,7420,5,1939,851,140,991,0,1,2,2,5,2,1,0,4,0,0,118000,3,3,3,2,5,3,4,0,6,1,8,2,0
