rows,meanImp,medianImp,minImp,maxImp,normHits,decision
X30,7.228246565,7.284554363,4.928189173,9.577864909,1,Confirmed
X50,3.077572212,2.933178185,0.561288822,5.249783626,0.71,Confirmed
X60,9.874161902,9.862651721,6.940002544,11.9446465,1,Confirmed
X90,3.04202245,3.088418613,0.864833576,4.775336525,0.81,Confirmed
X160,5.709928002,5.782837861,3.30133807,7.778052556,0.99,Confirmed
C..all.,4.058782846,4.07294198,2.351806134,5.573702833,0.98,Confirmed
RL,8.133073297,8.175876177,5.394663384,10.51579729,1,Confirmed
RM,9.138058708,9.077128642,6.771427047,11.58453145,1,Confirmed
AlleyGrvl,1.714736727,1.822612354,0.376200348,2.511399847,0.03,Rejected
Alleynan,2.823778514,2.823667475,1.164798495,4.658251254,0.64,Rejected
IR1,2.481440739,2.551228613,-0.410971122,4.950187027,0.53,Rejected
IR2,1.559606699,1.654701372,-0.604332636,3.087793161,0.06,Rejected
Reg,3.866113519,3.931534732,1.3704586,6.061734868,0.84,Confirmed
Bnk,2.745567448,2.733898535,1.326091705,3.802812292,0.65,Confirmed
HLS,0.561949288,0.657640915,-1.551739474,2.339788969,0,Rejected
CulDSac,0.98326342,0.720253516,-1.080290423,2.561165163,0.02,Rejected
BrDale,3.717246728,3.766231636,1.845751331,4.969593257,0.94,Confirmed
BrkSide,1.45402448,1.341494521,0.56790101,2.301642506,0,Rejected
Edwards,4.255675713,4.303566647,2.921499792,5.509929814,0.99,Confirmed
IDOTRR,2.766385452,2.697442065,0.525854387,4.895575544,0.68,Confirmed
MeadowV,4.733266592,4.922595686,2.494444613,6.265876592,0.98,Confirmed
NAmes,4.992621741,4.996044162,1.76730158,7.158620004,0.99,Confirmed
NoRidge,4.301081422,4.372509187,2.098542217,6.039829913,0.98,Confirmed
NridgHt,6.010338827,6.038760747,4.478461692,7.282007655,1,Confirmed
OldTown,3.418569078,3.510498315,1.494168157,5.147571622,0.83,Confirmed
Sawyer,3.151653859,3.239680065,0.652466694,5.109760108,0.7,Confirmed
Somerst,4.67584172,4.697382148,2.30715363,6.551538616,0.99,Confirmed
StoneBr,2.597495706,2.599952594,-0.054142784,4.639979441,0.5,Confirmed
Timber,1.59859302,1.638215457,-0.182489297,3.045673695,0.02,Rejected
Condition1Artery,0.862796413,0.801019237,-1.228074671,2.082747636,0,Rejected
Condition1Feedr,1.993815822,2.035008866,0.18327962,3.65892085,0.23,Rejected
Condition1Norm,2.458205294,2.499178521,0.94694536,4.007587421,0.45,Confirmed
X1Fam,7.823416244,7.791498527,5.130271243,10.02599577,1,Confirmed
Duplex,3.123622332,3.155329003,1.706683005,5.017423701,0.76,Confirmed
Gable,3.293222936,3.327733416,0.674340693,5.33601202,0.81,Confirmed
Hip,3.197946349,3.198690029,0.683335243,5.547942227,0.75,Confirmed
CompShg,0.239892295,0.1898956,-0.543397232,1.657714474,0,Rejected
WdShngl,0.914617406,1.033740919,-0.576755791,1.966168551,0,Rejected
Exterior2ndCmentBd,3.036186248,3.028049174,0.194797343,4.893904132,0.68,Confirmed
Exterior2ndMetalSd,3.361906295,3.451418892,0.301173553,4.964821812,0.76,Confirmed
Exterior2ndVinylSd,4.828415871,4.928218344,2.546137138,6.260893424,0.99,Confirmed
Exterior2ndWd.Sdng,2.246365896,2.3078682,-0.658963006,4.203004173,0.34,Rejected
BrkFace,3.171343097,3.168957524,-0.379233345,5.711824325,0.68,Rejected
None,4.734995335,4.673729427,3.121025128,6.124048759,1,Confirmed
Stone,3.002433778,3.088230522,0.167996729,4.616510742,0.71,Confirmed
FuseA,1.69210121,1.672076763,0.017398169,3.098709813,0.08,Rejected
FuseF,1.592390204,1.539094411,-0.070225915,3.479338787,0.06,Rejected
SBrkr,3.182350008,3.224521066,2.023838146,4.522001558,0.81,Confirmed
Attchd,8.580338868,8.610348876,6.448960478,10.77369677,1,Confirmed
BuiltIn,3.212787227,3.240764524,1.001546345,4.860430091,0.8,Confirmed
Detchd,7.683003623,7.663701699,6.104149303,9.535395566,1,Confirmed
N,3.245818363,3.399928904,0.643879497,4.644212489,0.8,Confirmed
Y,3.579882896,3.565770936,1.678008053,5.135574904,0.89,Confirmed
WD,1.468478029,1.668653434,-0.031345226,2.511908454,0,Rejected
Abnorml,1.4583048,1.284413158,-0.375089259,2.882538666,0.03,Rejected
Normal,0.517588828,0.406069662,-1.109117056,3.676784203,0.02,Rejected
Partial,2.780780194,2.888589211,0.866984286,4.696361852,0.63,Rejected
