"","X","X30","X50","X60","X90","X160","C..all.","RL","RM","AlleyGrvl","Alleynan","IR1","IR2","Reg","Bnk","HLS","CulDSac","BrDale","BrkSide","Edwards","IDOTRR","MeadowV","NAmes","NoRidge","NridgHt","OldTown","Sawyer","Somerst","StoneBr","Timber","Condition1Artery","Condition1Feedr","Condition1Norm","X1Fam","Duplex","Gable","Hip","CompShg","WdShngl","Exterior2ndCmentBd","Exterior2ndMetalSd","Exterior2ndVinylSd","Exterior2ndWd.Sdng","BrkFace","None","Stone","FuseA","FuseF","SBrkr","Attchd","BuiltIn","Detchd","N","Y","WD","Abnorml","Normal","Partial","LotFrontage","LotArea","OverallQual","YearBuilt","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","X2ndFlrSF","BsmtFullBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorch","ExterQual","BsmtQual","BsmtCond","BsmtExposure","HeatingQC","KitchenQual","GarageQual","PoolQC","BsmtFinType1","CentralAir","Functional","GarageFinish","Fence"
"1",0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,80,9.36074117264371,5,1961,6.15060276844628,5.6021188208797,6.78332520060396,0,0,2,0.693147180559945,5,0,1,4.94875989037817,0,0,4.79579054559674,1.38629436111989,1.38629436111989,1.38629436111989,2,3,3,1.38629436111989,0,3,0.693147180559945,2.19722457733622,1,1.38629436111989
"2",1,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,81,9.56577454647878,6,1958,6.82871207164168,6.00881318544259,7.1929342212158,0,0,3,0.693147180559945,6,0,1,5.97635090929793,3.61091791264422,0,0,1.38629436111989,1.38629436111989,1.38629436111989,2,3,4,1.38629436111989,0,5,0.693147180559945,2.19722457733622,1,0
"3",2,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,74,9.53466772862471,5,1997,6.67456139181443,4.92725368515721,6.83410873881384,6.55393340402581,0,3,0.693147180559945,6,1,2,5.36129216570943,3.55534806148941,0,0,1.38629436111989,1.6094379124341,1.38629436111989,2,4,3,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,1.38629436111989
"4",3,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,78,9.20823816388431,6,1998,6.40191719672719,5.78382518232974,6.83195356556585,6.5206211275587,0,3,0.693147180559945,7,1,2,5.88887795833288,3.61091791264422,0,0,1.38629436111989,1.38629436111989,1.38629436111989,2,5,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,3,0
"5",4,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,43,8.51839247199172,8,1992,5.57594910314632,6.92559519711047,7.15539630189673,0,0,2,0.693147180559945,5,0,2,0,4.4188406077966,0,4.97673374242057,1.6094379124341,1.6094379124341,1.38629436111989,2,5,4,1.38629436111989,0,5,0.693147180559945,2.19722457733622,2,0
"6",5,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,75,9.21044036697652,6,1993,0,6.63856778916652,6.63856778916652,6.7945865808765,0,3,0.693147180559945,7,1,2,5.06259503302697,4.44265125649032,0,0,1.38629436111989,1.6094379124341,1.38629436111989,2,4,3,1.38629436111989,0,1,0.693147180559945,2.19722457733622,3,0
"7",6,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0,8.98481899587601,6,1992,6.84161547647759,5.4553211153577,7.06390396147207,0,1,3,0.693147180559945,6,0,2,6.18208490671663,3.09104245335832,0,0,1.38629436111989,1.6094379124341,1.38629436111989,2,5,3,1.38629436111989,0,5,0.693147180559945,2.19722457733622,3,1.6094379124341
"8",7,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0.693147180559945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,1,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,63,9.03634406392822,6,1998,0,6.67203294546107,6.67203294546107,6.51767127291227,0,3,0.693147180559945,7,1,2,0,4.33073334028633,0,0,1.38629436111989,1.6094379124341,1.38629436111989,2,4,3,1.38629436111989,0,1,0.693147180559945,2.19722457733622,3,0
"9",8,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,85,9.22788555119193,7,1990,6.45833828334479,6.49828214947643,7.1708884785125,0,1,2,0.693147180559945,5,1,2,5.26269018890489,0,0,0,1.38629436111989,1.6094379124341,1.38629436111989,4,4,4,1.38629436111989,0,6,0.693147180559945,2.19722457733622,1,0
"10",9,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0.693147180559945,1,0,0,0,0.693147180559945,0.693147180559945,0,0.693147180559945,0,70,9.03610602536485,4,1970,6.69084227741856,0,6.78332520060396,0,1,2,0.693147180559945,4,0,2,5.48479693349065,0,0,0,1.38629436111989,1.38629436111989,1.38629436111989,2,3,3,1.38629436111989,0,5,0.693147180559945,2.19722457733622,3,1.38629436111989
