,30,50,60,90,160,C (all),RL,RM,AlleyGrvl,Alleynan,IR1,IR2,Reg,Bnk,HLS,CulDSac,BrDale,BrkSide,Edwards,IDOTRR,MeadowV,NAmes,NoRidge,NridgHt,OldTown,Sawyer,Somerst,StoneBr,Timber,Condition1Artery,Condition1Feedr,Condition1Norm,1Fam,Duplex,Gable,Hip,CompShg,WdShngl,Exterior2ndCmentBd,Exterior2ndMetalSd,Exterior2ndVinylSd,Exterior2ndWd Sdng,BrkFace,None,Stone,FuseA,FuseF,SBrkr,Attchd,BuiltIn,Detchd,N,Y,WD,Abnorml,Normal,Partial,LotFrontage,LotArea,OverallQual,YearBuilt,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SalePrice,ExterQual,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,KitchenQual,GarageQual,PoolQC,BsmtFinType1,CentralAir,Functional,GarageFinish,Fence
0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,65.0,9.04204005654,7,2003,6.5610306659,5.01727983681,6.7534379186,854,1,3,0.69314718056,8,0,2,0.0,4.12713438505,0.0,0.0,12.2476991164,1.60943791243,1.60943791243,1.38629436112,2,5,4,1.38629436112,0.0,6,1,2.19722457734,2,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,80.0,9.1696225387,6,1976,6.88653164253,5.65248918027,7.14124512235,0,0,3,0.69314718056,6,1,2,5.70044357339,0.0,0.0,0.0,12.1090164423,1.38629436112,1.60943791243,1.38629436112,4,5,3,1.38629436112,0.0,5,1,2.19722457734,2,0.0
2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,68.0,9.32821229257,7,2001,6.18826412308,6.07534603109,6.82546003626,866,1,3,0.69314718056,6,1,2,0.0,3.76120011569,0.0,0.0,12.3171711673,1.60943791243,1.60943791243,1.38629436112,3,5,4,1.38629436112,0.0,6,1,2.19722457734,2,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,60.0,9.16440114003,7,1915,5.37989735354,6.29341927885,6.62936325344,756,1,3,0.69314718056,7,1,3,0.0,3.58351893846,5.60947179518,0.0,11.8494048444,1.38629436112,1.38629436112,1.60943791243,2,4,4,1.38629436112,0.0,5,1,2.19722457734,1,0.0
4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,84.0,9.56528381774,8,2000,6.48616078894,6.19644412779,7.04403289727,1053,1,4,0.69314718056,9,1,3,5.2626901889,4.44265125649,0.0,0.0,12.4292201968,1.60943791243,1.60943791243,1.38629436112,3,5,4,1.38629436112,0.0,6,1,2.19722457734,2,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,85.0,9.5550641848,5,1993,6.59714570189,4.1743872699,6.68085467879,566,1,1,0.69314718056,5,0,2,3.7135720667,3.43398720449,0.0,0.0,11.8706069022,1.38629436112,1.60943791243,1.38629436112,2,5,3,1.38629436112,0.0,6,1,2.19722457734,1,1.38629436112
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,75.0,9.21880445039,8,2004,7.22256601882,5.76205138278,7.43070708255,0,1,3,0.69314718056,7,1,2,5.54517744448,4.06044301055,0.0,0.0,12.6346062839,1.60943791243,1.79175946923,1.38629436112,3,5,4,1.38629436112,0.0,6,1,2.19722457734,2,0.0
7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.2479251323,7,1973,6.75693238925,5.37989735354,7.01031186731,983,1,3,0.69314718056,7,2,2,5.46383180503,5.32300997914,5.43372200355,0.0,12.2060776455,1.38629436112,1.60943791243,1.38629436112,3,5,3,1.38629436112,0.0,5,1,2.19722457734,2,0.0
8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,51.0,8.71948076085,7,1931,0.0,6.85961490365,6.85961490365,752,0,2,1.09861228867,8,2,2,4.51085950652,0.0,5.32787616879,0.0,11.7745279009,1.38629436112,1.38629436112,1.38629436112,2,4,3,1.09861228867,0.0,1,1,2.07944154168,1,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,50.0,8.91206909797,5,1939,6.74758652683,4.94875989038,6.89972310728,0,1,2,1.09861228867,5,2,1,0.0,1.60943791243,0.0,0.0,11.678448378,1.38629436112,1.38629436112,1.38629436112,2,5,3,1.60943791243,0.0,6,1,2.19722457734,2,0.0
