"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
"1",1461,3.04452243772342,"RH",4.39444915467244,9.36074117264371,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story",5,6,1961,1961,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",6.15060276844628,"LwQ",4.97673374242057,5.6021188208797,6.78332520060396,"GasA","TA","Y","SBrkr",6.7990558620588,0,0,6.7990558620588,0,0,1,0,2,0.693147180559945,"TA",5,"Typ",0,NA,"Attchd",1961,"Unf",1,730,"TA","TA","Y",4.94875989037817,0,0,0,4.79579054559674,0,NA,"MnPrv",NA,0,6,2010,"WD","Normal"
"2",1462,3.04452243772342,"RL",4.40671924726425,9.56577454647878,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",4.69134788222914,"TA","TA","CBlock","TA","TA","No","ALQ",6.82871207164168,"Unf",0,6.00881318544259,7.1929342212158,"GasA","TA","Y","SBrkr",7.1929342212158,0,0,7.1929342212158,0,0,1,1,3,0.693147180559945,"Gd",6,"Typ",0,NA,"Attchd",1958,"Unf",1,312,"TA","TA","Y",5.97635090929793,3.61091791264422,0,0,0,0,NA,NA,"Gar2",9.43356392009056,6,2010,"WD","Normal"
"3",1463,4.11087386417331,"RL",4.31748811353631,9.53466772862471,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",5,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",6.67456139181443,"Unf",0,4.92725368515721,6.83410873881384,"GasA","Gd","Y","SBrkr",6.83410873881384,6.55393340402581,0,7.39633529380081,0,0,2,1,3,0.693147180559945,"TA",6,"Typ",1,"TA","Attchd",1997,"Fin",2,482,"TA","TA","Y",5.36129216570943,3.55534806148941,0,0,0,0,NA,"MnPrv",NA,0,3,2010,"WD","Normal"
"4",1464,4.11087386417331,"RL",4.36944785246702,9.20823816388431,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",3.04452243772342,"TA","TA","PConc","TA","TA","No","GLQ",6.40191719672719,"Unf",0,5.78382518232974,6.83195356556585,"GasA","Ex","Y","SBrkr",6.83195356556585,6.5206211275587,0,7.38087903556412,0,0,2,1,3,0.693147180559945,"Gd",7,"Typ",1,"Gd","Attchd",1998,"Fin",2,470,"TA","TA","Y",5.88887795833288,3.61091791264422,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal"
"5",1465,4.79579054559674,"RL",3.78418963391826,8.51839247199172,"Pave",NA,"IR1","HLS","AllPub","Inside","Gtl","StoneBr","Norm","Norm","TwnhsE","1Story",8,5,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","ALQ",5.57594910314632,"Unf",0,6.92559519711047,7.15539630189673,"GasA","Ex","Y","SBrkr",7.15539630189673,0,0,7.15539630189673,0,0,2,0,2,0.693147180559945,"Gd",5,"Typ",0,NA,"Attchd",1992,"RFn",2,506,"TA","TA","Y",0,4.4188406077966,0,0,4.97673374242057,0,NA,NA,NA,0,1,2010,"WD","Normal"
"6",1466,4.11087386417331,"RL",4.33073334028633,9.21044036697652,"Pave",NA,"IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1993,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,6.63856778916652,6.63856778916652,"GasA","Gd","Y","SBrkr",6.63856778916652,6.7945865808765,0,7.4121603349452,0,0,2,1,3,0.693147180559945,"TA",7,"Typ",1,"TA","Attchd",1993,"Fin",2,440,"TA","TA","Y",5.06259503302697,4.44265125649032,0,0,0,0,NA,NA,NA,0,4,2010,"WD","Normal"
"7",1467,3.04452243772342,"RL",NA,8.98481899587601,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,7,1992,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","PConc","Gd","TA","No","ALQ",6.84161547647759,"Unf",0,5.4553211153577,7.06390396147207,"GasA","Ex","Y","SBrkr",7.08002649992259,0,0,7.08002649992259,1,0,2,0,3,0.693147180559945,"TA",6,"Typ",0,NA,"Attchd",1992,"Fin",2,420,"TA","TA","Y",6.18208490671663,3.09104245335832,0,0,0,0,NA,"GdPrv","Shed",6.21660610108486,3,2010,"WD","Normal"
"8",1468,4.11087386417331,"RL",4.15888308335967,9.03634406392822,"Pave",NA,"IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,6.67203294546107,6.67203294546107,"GasA","Gd","Y","SBrkr",6.67203294546107,6.51767127291227,0,7.2902928824466,0,0,2,1,3,0.693147180559945,"TA",7,"Typ",1,"Gd","Attchd",1998,"Fin",2,393,"TA","TA","Y",0,4.33073334028633,0,0,0,0,NA,NA,NA,0,5,2010,"WD","Normal"
"9",1469,3.04452243772342,"RL",4.45434729625351,9.22788555119193,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",6.45833828334479,"Unf",0,6.49828214947643,7.1708884785125,"GasA","Gd","Y","SBrkr",7.20191631753163,0,0,7.20191631753163,1,0,1,1,2,0.693147180559945,"Gd",5,"Typ",1,"Po","Attchd",1990,"Unf",2,506,"TA","TA","Y",5.26269018890489,0,0,0,0,0,NA,NA,NA,0,2,2010,"WD","Normal"
"10",1470,3.04452243772342,"RL",4.26267987704132,9.03610602536485,"Pave",NA,"Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",6.69084227741856,"Rec",4.36944785246702,0,6.78332520060396,"GasA","TA","Y","SBrkr",6.78332520060396,0,0,6.78332520060396,1,0,1,0,2,0.693147180559945,"TA",4,"Typ",0,NA,"Attchd",1970,"Fin",2,525,"TA","TA","Y",5.48479693349065,0,0,0,0,0,NA,"MnPrv",NA,0,4,2010,"WD","Normal"
"11",1471,4.79579054559674,"RH",3.29583686600433,8.67573421954479,"Pave",NA,"IR1","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","TwnhsE","1Story",7,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",6.95844839329766,"BLQ",0,5.87211778947542,7.24850407237061,"GasA","Ex","Y","SBrkr",7.19893124068817,0,0,7.19893124068817,1,0,2,0,2,0.693147180559945,"Gd",5,"Typ",1,"Fa","Attchd",1999,"Fin",2,511,"TA","TA","Y",5.31811999384422,4.23410650459726,0,0,0,0,NA,NA,NA,0,6,2010,"WD","Normal"
"12",1472,5.08140436498446,"RM",3.09104245335832,7.42714413340862,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",6.22455842927536,"TA","TA","CBlock","TA","TA","No","Rec",5.05624580534831,"Unf",0,5.79301360838414,6.18208490671663,"GasA","TA","Y","SBrkr",6.18208490671663,6.22455842927536,0,6.89568269774787,0,0,1,1,2,0.693147180559945,"TA",5,"Typ",0,NA,"Detchd",1971,"Unf",1,264,"TA","TA","Y",5.62040086571715,0,0,0,0,0,NA,NA,NA,0,2,2010,"COD","Normal"
"13",1473,5.08140436498446,"RM",3.09104245335832,7.42714413340862,"Pave",NA,"Reg","Lvl","AllPub","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",6.20050917404269,"TA","TA","CBlock","TA","TA","No","Rec",5.70711026474888,"Unf",0,5.42053499927229,6.26530121273771,"GasA","TA","Y","SBrkr",6.26530121273771,6.34212141872115,0,6.99668148817654,0,0,1,1,3,0.693147180559945,"TA",6,"Typ",0,NA,"Detchd",1997,"Unf",1,320,"TA","TA","Y",0,0,0,0,0,0,NA,NA,NA,0,3,2010,"WD","Normal"
